far, high, below, narrow, enemy,,
Agent Skill,,,,,,
0,1,1,1,1,,
Blocks Feature Counts Over Time,,,,,,
2,0,0,0,1,2,0.5
1,0,0,0,0,1,0.5
4,2,1,0,0,6,0.666666667
1,0,0,0,0,1,0.5
5,20,25,5,30,49,0.102040816
10,15,35,20,40,53,0.188679245
6,2,6,4,7,10,0.6
3,0,5,4,5,6,0.5
7,10,17,17,25,33,0.212121212
8,5,17,9,12,23,0.347826087
6,4,22,17,21,29,0.206896552
6,6,14,16,17,22,0.272727273
11,3,20,19,14,27,0.407407407
11,7,26,34,30,39,0.282051282
5,1,14,12,8,18,0.277777778
3,0,7,4,6,7,0.428571429
1,0,1,1,0,1,0.5
7,4,22,19,17,28,0.25
10,5,24,23,23,31,0.322580645
19,17,36,44,36,56,0.339285714
11,12,43,40,46,59,0.186440678
5,5,9,9,9,15,0.333333333
2,0,1,2,2,2,0.5
4,2,7,10,7,12,0.333333333
1,0,1,0,1,1,0.5
1,0,1,1,1,1,0.5
7,2,14,14,14,19,0.368421053
2,2,3,4,2,6,0.333333333
4,1,5,4,5,7,0.571428571
4,3,7,7,7,11,0.363636364
19,9,37,32,33,52,0.365384615
8,8,33,33,29,45,0.177777778
8,8,13,16,17,25,0.32
8,5,19,17,15,24,0.333333333
1,0,1,1,1,1,0.5
11,5,18,20,15,29,0.379310345
7,4,20,15,17,27,0.259259259
7,12,22,21,21,36,0.194444444
6,4,6,10,6,14,0.428571429
5,1,7,7,6,10,0.5
8,5,14,12,12,21,0.380952381
1,0,0,1,1,1,0.5
7,7,24,22,16,34,0.205882353
1,0,1,1,1,1,0.5
1,0,0,1,1,1,0.5
1,0,0,1,1,1,0.5
1,0,1,0,0,1,0.5
2,0,1,1,1,2,0.5
6,5,15,12,13,22,0.272727273
3,0,2,1,3,4,0.75
2,0,2,1,1,2,0.5
2,0,2,2,2,3,0.666666667
21,15,47,34,44,70,0.3
1,0,1,1,0,1,0.5
1,0,0,1,0,1,0.5
3,1,2,1,3,4,0.75
5,2,9,10,6,12,0.416666667
4,5,6,8,4,13,0.307692308
3,9,17,15,17,27,0.111111111
4,4,2,5,4,9,0.444444444
5,6,14,12,17,23,0.217391304
2,1,2,1,1,3,0.666666667
2,1,3,4,3,5,0.4
2,0,0,1,2,2,0.5
4,3,10,8,10,14,0.285714286
4,4,10,10,6,15,0.266666667
3,1,7,4,5,9,0.333333333
2,0,3,1,1,3,0.666666667
12,11,46,32,42,61,0.196721311
2,0,1,1,0,3,0.666666667
3,3,7,6,5,10,0.3
5,2,6,5,4,9,0.555555556
8,6,12,13,11,21,0.380952381
4,1,4,5,3,6,0.666666667
3,2,9,5,7,11,0.272727273
12,11,18,20,25,36,0.333333333
4,3,8,10,7,13,0.307692308
3,0,3,1,3,4,0.75
18,16,41,37,43,63,0.285714286
2,0,1,0,1,2,0.5
14,21,42,40,40,68,0.205882353
4,10,27,23,30,41,0.097560976
1,0,1,1,1,1,0.5
5,2,11,3,10,14,0.357142857
5,5,11,9,11,18,0.277777778
1,0,1,0,1,1,0.5
1,0,1,1,1,1,0.5
4,3,4,8,5,10,0.4
3,5,8,10,10,14,0.214285714
6,0,10,6,9,12,0.5
1,0,0,0,1,1,0.5
7,8,14,16,12,25,0.28
1,0,1,0,1,1,0.5
7,3,11,13,7,17,0.411764706
4,4,9,8,6,15,0.266666667
3,0,2,2,1,3,0.5
1,0,0,0,1,1,0.5
5,12,25,26,19,40,0.125
1,0,1,1,1,1,0.5
11,5,22,20,15,31,0.35483871
1,0,1,1,1,1,0.5
8,3,15,15,11,22,0.363636364
4,1,7,4,5,10,0.4
3,4,6,4,4,10,0.3
11,11,38,31,30,55,0.2
2,1,1,1,2,3,0.666666667
2,0,5,4,4,5,0.4
5,6,22,18,21,28,0.178571429
2,1,2,2,3,4,0.5
1,0,0,1,1,1,0.5
5,5,16,16,16,22,0.227272727
3,0,2,1,4,4,0.75
1,0,0,0,1,1,0.5
10,9,27,24,21,37,0.27027027
6,3,8,8,8,13,0.461538462
3,5,11,13,11,18,0.166666667
1,0,1,0,1,1,0.5
4,1,4,2,4,5,0.8
8,11,26,21,27,41,0.195121951
8,7,25,21,13,32,0.25
9,4,10,9,14,19,0.473684211
16,31,59,66,70,100,0.16
1,0,1,1,0,1,0.5
2,1,3,1,3,4,0.5
1,0,0,1,1,1,0.5
2,0,6,4,4,6,0.333333333
1,0,1,1,1,1,0.5
4,1,4,4,2,8,0.5
1,0,1,1,1,1,0.5
10,7,19,20,19,29,0.344827586
1,0,0,1,1,1,0.5
15,23,52,50,48,83,0.180722892
7,4,16,15,19,23,0.304347826
5,6,5,9,5,13,0.384615385
2,2,6,6,7,8,0.25
10,22,33,33,34,56,0.178571429
3,1,3,2,3,6,0.5
3,10,16,19,13,27,0.111111111
6,8,15,12,17,23,0.260869565
6,2,9,8,12,15,0.4
2,7,11,10,11,19,0.105263158
4,1,12,9,8,14,0.285714286
1,0,0,1,1,1,0.5
1,0,1,1,1,1,0.5
8,11,18,25,17,32,0.25
1,0,0,0,1,1,0.5
5,7,7,12,11,16,0.3125
8,6,14,18,11,23,0.347826087
3,0,3,5,2,6,0.5
6,2,11,6,8,14,0.428571429
13,9,22,28,21,35,0.371428571
2,0,3,2,3,4,0.5
4,5,7,8,9,13,0.307692308
7,11,22,19,24,36,0.194444444
1,0,0,1,1,1,0.5
5,1,10,8,8,13,0.384615385
1,0,1,0,0,1,0.5
7,8,17,22,23,29,0.24137931
21,22,62,61,58,91,0.230769231
3,5,11,13,10,16,0.1875
3,1,1,3,4,5,0.6
5,8,16,17,15,25,0.2
9,9,14,13,20,26,0.346153846
3,2,4,5,4,7,0.428571429
12,29,49,54,52,81,0.148148148
3,1,4,5,4,6,0.5
7,8,8,15,14,20,0.35
1,0,1,0,0,1,0.5
5,5,18,19,14,23,0.217391304
1,0,0,0,1,1,0.5
1,0,0,1,0,1,0.5
1,0,1,0,0,1,0.5
1,0,0,1,1,1,0.5
6,9,25,19,24,36,0.166666667
4,2,6,6,8,9,0.444444444
1,0,0,1,1,1,0.5
4,6,6,10,13,15,0.266666667
8,9,32,29,31,41,0.195121951
4,5,13,12,12,19,0.210526316
5,4,13,14,17,20,0.25
9,8,26,21,26,37,0.243243243
3,2,8,9,7,12,0.25
1,0,0,0,0,1,0.5
10,7,13,18,20,27,0.37037037
4,3,12,9,11,15,0.266666667
7,5,8,14,12,17,0.411764706
